,model,fitness,episode
177,./models\94f62293v1_20241120-222547_800.pth,-144.4661125051069,800
178,./models\94f62293v1_20241120-222547_900.pth,-221.38488745519356,900
179,./models\94f62293v1_20241120-231535_0.pth,-388.9804840872687,0
180,./models\94f62293v1_20241120-231535_100.pth,-548.9338049453302,100
181,./models\94f62293v1_20241120-231535_1000.pth,-292.0538592996088,1000
182,./models\94f62293v1_20241120-231535_1100.pth,-337.3916200730123,1100
183,./models\94f62293v1_20241120-231535_1200.pth,-413.8006377041222,1200
184,./models\94f62293v1_20241120-231535_1300.pth,-403.7773911784563,1300
185,./models\94f62293v1_20241120-231535_1400.pth,-413.07556354695157,1400
186,./models\94f62293v1_20241120-231535_1500.pth,-443.1211251694627,1500
187,./models\94f62293v1_20241120-231535_1600.pth,-435.80621947980575,1600
188,./models\94f62293v1_20241120-231535_1700.pth,-484.7729386843446,1700
189,./models\94f62293v1_20241120-231535_1800.pth,-385.0786547987298,1800
190,./models\94f62293v1_20241120-231535_1900.pth,-397.5087218286982,1900
191,./models\94f62293v1_20241120-231535_200.pth,-472.3809159585562,200
192,./models\94f62293v1_20241120-231535_2000.pth,-411.4765278516203,2000
193,./models\94f62293v1_20241120-231535_2100.pth,-645.5379433474311,2100
194,./models\94f62293v1_20241120-231535_2200.pth,-600.5764586265207,2200
195,./models\94f62293v1_20241120-231535_2300.pth,-543.7634090460858,2300
196,./models\94f62293v1_20241120-231535_2400.pth,-609.6306004602177,2400
197,./models\94f62293v1_20241120-231535_2500.pth,-592.2771420770378,2500
198,./models\94f62293v1_20241120-231535_2600.pth,-525.3358626449755,2600
199,./models\94f62293v1_20241120-231535_2700.pth,-475.39213182596956,2700
200,./models\94f62293v1_20241120-231535_2800.pth,-477.48097878017177,2800
201,./models\94f62293v1_20241120-231535_2900.pth,-557.024020693373,2900
202,./models\94f62293v1_20241120-231535_300.pth,-415.54834623440854,300
203,./models\94f62293v1_20241120-231535_3000.pth,-530.9765213512172,3000
204,./models\94f62293v1_20241120-231535_3100.pth,-457.7369575487783,3100
205,./models\94f62293v1_20241120-231535_3200.pth,-383.8776613633053,3200
206,./models\94f62293v1_20241120-231535_3300.pth,-341.8737390197465,3300
207,./models\94f62293v1_20241120-231535_3400.pth,-335.19635298174626,3400
208,./models\94f62293v1_20241120-231535_3500.pth,-315.2000403795935,3500
209,./models\94f62293v1_20241120-231535_3600.pth,-367.13303348193006,3600
210,./models\94f62293v1_20241120-231535_3700.pth,-389.84472570903046,3700
211,./models\94f62293v1_20241120-231535_3800.pth,-313.85470533679114,3800
212,./models\94f62293v1_20241120-231535_3900.pth,-321.1684117258589,3900
213,./models\94f62293v1_20241120-231535_400.pth,-502.76816043515413,400
214,./models\94f62293v1_20241120-231535_4000.pth,-341.15250555222724,4000
215,./models\94f62293v1_20241120-231535_4100.pth,-358.3010912596793,4100
216,./models\94f62293v1_20241120-231535_500.pth,-261.34902401287815,500
217,./models\94f62293v1_20241120-231535_600.pth,-268.7971306826153,600
218,./models\94f62293v1_20241120-231535_700.pth,-206.9727637325416,700
219,./models\94f62293v1_20241120-231535_800.pth,-148.58269184945698,800
220,./models\94f62293v1_20241120-231535_900.pth,-210.76072975754695,900
221,./models\v1_20241121-201913_3cabc502_8200.pth,-186.9023636657045,8200
222,./models\v1_20241121-201950_3cabc502_8200.pth,-177.24194986266662,8200
223,./models\v1_20241121-202045_3cabc502_8200.pth,-181.1653134373152,8200
224,./models\v1_20241121-202155_3cabc502_8200.pth,-188.51687878441513,8200
225,./models\v1_20241121-202217_3cabc502_8200.pth,-175.24773043918591,8200
226,./models\v1_20241121-202514_3cabc502_8200.pth,-175.7785314654824,8200
227,./models\v1_20241121-202547_3cabc502_8200.pth,-172.1954969114273,8200
228,./models\v1_20241121-202633_3cabc502_8200.pth,-180.35994121706827,8200
229,./models\v1_20241121-202633_3cabc502_8300.pth,-171.86123099763077,8300
230,./models\v1_20241121-202633_3cabc502_8400.pth,-387.6529785959122,8400
231,./models\v1_20241121-202633_3cabc502_8500.pth,-739.6916293331119,8500
232,./models\v1_20241121-202633_3cabc502_8600.pth,-513.2538289665349,8600
233,./models\v1_20241121-202633_3cabc502_8700.pth,-407.82903200463625,8700
234,./models\v1_20241121-202633_3cabc502_8800.pth,-508.30893537017073,8800
235,./models\v1_20241121-202633_3cabc502_8900.pth,-569.7618597047004,8900
236,./models\v1_20241121-202633_3cabc502_9000.pth,-450.5499222412629,9000
237,./models\v1_20241121-202633_3cabc502_9100.pth,-417.65486743968853,9100
238,./models\v1_20241121-202633_3cabc502_9200.pth,-454.08001949913273,9200
239,./models\v1_20241121-202633_3cabc502_9300.pth,-456.98796815605965,9300
240,./models\v1_20241121-205018_cc0e3d0b_0.pth,-580.3263561023906,0
241,./models\v1_20241121-205018_cc0e3d0b_100.pth,-565.454169124444,100
242,./models\v1_20241121-205445_cc0e3d0b_0.pth,-704.445898671078,0
243,./models\v1_20241121-205445_cc0e3d0b_100.pth,-580.6708723962552,100
244,./models\v1_20241121-205445_cc0e3d0b_200.pth,-561.4768884394009,200
245,./models\v1_20241121-205445_cc0e3d0b_300.pth,-571.1101928826412,300
246,./models\v1_20241121-205445_cc0e3d0b_400.pth,-579.7750437006541,400
247,./models\v1_20241121-205445_cc0e3d0b_500.pth,-128.6280967550416,500
248,./models\v1_20241121-205445_cc0e3d0b_600.pth,-434.0626723385384,600
249,./models\v1_20241121-205445_cc0e3d0b_700.pth,-493.7987883579564,700
250,./models\v1_20241121-211046_cc0e3d0b_1000.pth,-588.1481359976402,1000
251,./models\v1_20241121-211046_cc0e3d0b_1100.pth,-583.0835612265464,1100
252,./models\v1_20241121-211046_cc0e3d0b_700.pth,-530.9778017594795,700
253,./models\v1_20241121-211046_cc0e3d0b_800.pth,-583.1773830383318,800
254,./models\v1_20241121-211046_cc0e3d0b_900.pth,-563.959348473249,900
255,./models\v1_20241121-212000_cc0e3d0b_1100.pth,-580.9196501452132,1100
256,./models\v1_20241121-212000_cc0e3d0b_1200.pth,-593.6475579047055,1200
257,./models\v1_20241121-212000_cc0e3d0b_1300.pth,-580.718499640727,1300
258,./models\v1_20241121-212000_cc0e3d0b_1400.pth,-788.2518628422896,1400
259,./models\v1_20241121-212000_cc0e3d0b_1500.pth,-692.2462381080369,1500
260,./models\v1_20241121-212000_cc0e3d0b_1600.pth,-692.2116104722992,1600
261,./models\v1_20241121-212000_cc0e3d0b_1700.pth,-760.1876053008742,1700
262,./models\v1_20241121-212000_cc0e3d0b_1800.pth,-579.7555686057952,1800
263,./models\v1_20241121-212000_cc0e3d0b_1900.pth,-1048.6311461449504,1900
264,./models\v1_20241121-212000_cc0e3d0b_2000.pth,-564.1424425538338,2000
265,./models\v1_20241121-212000_cc0e3d0b_2100.pth,-812.3953087801159,2100
266,./models\v1_20241121-212000_cc0e3d0b_2200.pth,-776.7591537540043,2200
267,./models\v1_20241121-212000_cc0e3d0b_2300.pth,-750.1293741978711,2300
268,./models\v1_20241121-212000_cc0e3d0b_2400.pth,-885.3572690872127,2400
269,./models\v1_20241121-212000_cc0e3d0b_2500.pth,-809.4360326461932,2500
270,./models\v1_20241121-212000_cc0e3d0b_2600.pth,-704.0474486983497,2600
271,./models\v1_20241121-212000_cc0e3d0b_2700.pth,-738.9597029159263,2700
272,./models\v1_20241121-212000_cc0e3d0b_2800.pth,-617.1293514469914,2800
273,./models\v1_20241121-212000_cc0e3d0b_2900.pth,-543.4569007559317,2900
274,./models\v1_20241121-212000_cc0e3d0b_3000.pth,-575.0714228653142,3000
275,./models\v1_20241121-212000_cc0e3d0b_3100.pth,-592.656493602965,3100
276,./models\v1_20241121-223934_cc0e3d0b_3100.pth,-639.7309599496757,3100
277,./models\v1_20241121-224006_cc0e3d0b_3100.pth,-605.2822796966067,3100
278,./models\v1_20241121-224118_cc0e3d0b_10000.pth,-129.36014167372326,10000
279,./models\v1_20241121-224118_cc0e3d0b_10100.pth,-269.8977160741443,10100
280,./models\v1_20241121-224118_cc0e3d0b_10200.pth,-131.78812635820165,10200
281,./models\v1_20241121-224118_cc0e3d0b_10300.pth,-143.00608399883075,10300
282,./models\v1_20241121-224118_cc0e3d0b_10400.pth,-130.8190388384758,10400
283,./models\v1_20241121-224118_cc0e3d0b_10500.pth,-141.71251873330127,10500
284,./models\v1_20241121-224118_cc0e3d0b_10600.pth,-528.8821955853207,10600
285,./models\v1_20241121-224118_cc0e3d0b_10700.pth,-341.0860770121931,10700
286,./models\v1_20241121-224118_cc0e3d0b_10800.pth,-505.98505868831313,10800
287,./models\v1_20241121-224118_cc0e3d0b_10900.pth,-753.0738066361166,10900
288,./models\v1_20241121-224118_cc0e3d0b_11000.pth,-754.4597532623226,11000
289,./models\v1_20241121-224118_cc0e3d0b_11100.pth,-809.7116650293273,11100
290,./models\v1_20241121-224118_cc0e3d0b_11200.pth,-770.0291134831406,11200
291,./models\v1_20241121-224118_cc0e3d0b_11300.pth,-760.8104778137161,11300
292,./models\v1_20241121-224118_cc0e3d0b_11400.pth,-627.5278814998564,11400
293,./models\v1_20241121-224118_cc0e3d0b_11500.pth,-743.1973866338203,11500
294,./models\v1_20241121-224118_cc0e3d0b_11600.pth,-681.5099976729949,11600
295,./models\v1_20241121-224118_cc0e3d0b_11700.pth,-571.8197767419234,11700
296,./models\v1_20241121-224118_cc0e3d0b_11800.pth,-575.0011381561524,11800
297,./models\v1_20241121-224118_cc0e3d0b_11900.pth,-590.9922503616975,11900
298,./models\v1_20241121-224118_cc0e3d0b_12000.pth,-582.9587774864539,12000
299,./models\v1_20241121-224118_cc0e3d0b_12100.pth,-583.3246432576537,12100
300,./models\v1_20241121-224118_cc0e3d0b_12200.pth,-589.0961168211834,12200
301,./models\v1_20241121-224118_cc0e3d0b_12300.pth,-400.6311896086387,12300
302,./models\v1_20241121-224118_cc0e3d0b_12400.pth,-589.0863250506151,12400
303,./models\v1_20241121-224118_cc0e3d0b_12500.pth,-574.920480587515,12500
304,./models\v1_20241121-224118_cc0e3d0b_12600.pth,-822.9495607263077,12600
305,./models\v1_20241121-224118_cc0e3d0b_12700.pth,-941.7628731064466,12700
306,./models\v1_20241121-224118_cc0e3d0b_12800.pth,-317.20656607126165,12800
307,./models\v1_20241121-224118_cc0e3d0b_12900.pth,-333.4111427784714,12900
